w1,l1_leg,l1_top,l2,h1,l1_center,Tx_turns,Tx_width,Tx_height,Tx_space_x,Tx_space_y,Tx_preg,Rx_width,Rx_height,Rx_space_x,Rx_space_y,Rx_preg,g2,Tx_layer_space_x,Tx_layer_space_y,magnetizing_current,total_loss,coreloss,copperloss_Tx,copperloss_Rx1,copperloss_Rx2,magnetizing_copperloss_Tx,B_center,A,Lmt,hh,h1,coil_height,Tx1,Rx1,Txp1,Rxp1,B_left,B_top_left
36,43.0,5.300000000000001,1.0,18.5,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.8,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.1,4.616020579037129,8.972121087177431,2.2370138254454566,1.5441179864812677,1.1096723089784475,2.1319446408064255,1.9493723254658342,0.1125903969283746,3171.78,67.91629230841913,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.053400198962058366,0.2811001105574855
0,43.0,5.300000000000001,1.0,18.5,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.8,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.1,4.581430482584864,8.973971560302466,2.2313646254798774,1.5725091885249347,1.1190427744506632,2.0437451640926327,2.007309807754358,0.1122671710937361,3198.0800000000004,68.42906470790406,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.0538685371263283,0.28052390312123415
31,42.0,5.300000000000001,1.0,18.5,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.8,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.1,4.654321523946697,8.990379767814849,2.373519102705987,1.5398739529103076,1.0914685918197922,1.9774807601814124,2.008037360197349,0.11451845130488977,3145.4800000000005,67.35740136012876,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.055519389401685305,0.28257853429311636
7,43.0,5.2,1.0,18.2,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.5,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.1,4.577230364005633,8.992981144342824,2.2033533718979332,1.5596250253109751,1.1189853566927395,2.1299264364919988,1.9810909539491781,0.11241282988328737,3108.0,68.49185599503245,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.0560261705534289,0.2818629728020891
2,43.0,2.3000000000000003,1.0,18.5,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.8,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.1,4.562618984181603,9.008304049212681,2.258704058202812,1.5608205603954255,1.1107229459959957,2.1313314691319714,1.9467250154864755,0.11294333160553086,2809.98,68.7111950470694,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10269367332681169,0.2868738533312798
33,41.0,2.0,1.0,18.2,2.93,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.3,16.5,0.17500000000000004,0.7000000000000001,1.6,0.28,1.01,0.2,0.2,4.660233336825364,9.109813977121252,2.400662666804461,1.5714909131481236,1.1058388727543293,2.0302200012753993,2.001601523138939,0.11282512716178418,2642.28,67.27195406080841,0.00015999999999999955,0.0029300000000000003,0.0027700000000000008,0.00017500000000000005,0.00017500000000000005,0.0003,0.00028000000000000003,0.1150670745987456,0.2937464437249265
54,41.0,2.0,1.0,18.2,2.82,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.5,0.17500000000000004,0.5,1.6,0.28,1.01,0.2,0.2,4.6576232097849095,9.202025248410298,2.403056541501184,1.611863987025407,1.1287655342963119,2.042855188170019,2.015483997417374,0.11043973464682447,2633.2000000000003,67.30965319155592,0.00012999999999999947,0.00282,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.11507070475280107,0.2957546462685884
27,41.0,2.3000000000000003,1.0,16.5,3.0,5.0,14.0,1.5,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.27,14.8,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.588673153978344,9.203152668483867,2.1316877171826496,1.765444661093401,1.0893197165153166,1.9239401192350005,2.292760454457499,0.11532693098571087,2419.68,68.3210576189675,0.00021000000000000012,0.003,0.00279,0.00017500000000000005,0.00017500000000000005,0.00027,0.0003,0.10574166372938036,0.294782307429109
16,41.0,2.3000000000000003,1.0,18.2,3.0,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.26,16.5,0.17500000000000004,0.5,1.6,0.28,1.01,0.2,0.2,4.674909411425343,9.209537894579938,2.4040022893258493,1.5571211408846501,1.0771134673495286,2.0261819071317135,2.145119089888198,0.11634066449957922,2668.0000000000005,67.06076532336039,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10669221585418866,0.296981543278105
75,41.0,2.3000000000000003,1.0,16.5,3.0,5.0,14.0,1.5,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.27,14.8,0.17500000000000004,0.6000000000000001,1.6,0.28,1.01,0.2,0.2,4.608834350793704,9.220402286226319,2.13644644540918,1.754175059018,1.0872256397470614,2.0115674817710434,2.2309876602810337,0.11560809013339242,2402.6400000000003,68.02218936195315,0.00028999999999999946,0.003,0.0027100000000000006,0.00017500000000000005,0.00017500000000000005,0.00027,0.00028000000000000003,0.10555751647466907,0.2966665236036449
47,41.0,2.3000000000000003,1.0,16.5,3.0,5.0,14.0,1.5,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.24,14.8,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.2,4.61541135674586,9.222875115277905,2.1430404036140827,1.7533729482315046,1.0800719687855056,2.0198058554979132,2.226583939148899,0.11592819663012788,2398.3799999999997,67.92525708230741,0.00026999999999999984,0.003,0.0027300000000000002,0.00017500000000000005,0.00017500000000000005,0.00024,0.0003,0.10538311241044557,0.2958376203875955
11,42.0,2.4000000000000004,1.0,16.5,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,14.8,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.482756029634198,9.231952276395472,2.0897679291528934,1.8638432031039627,1.1399072814612954,1.9775610039539646,2.1608728587233546,0.11347897190204763,2473.84,69.93532569586354,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10369369964363642,0.2859485775450674
18,41.0,2.0,1.0,18.2,2.82,5.0,14.0,1.7000000000000002,0.17500000000000004,0.47000000000000003,3.5,0.3,16.5,0.17500000000000004,0.4,1.6,0.28,1.01,0.2,0.2,4.668144621241987,9.23530393390858,2.4038105959902722,1.6013556219183318,1.129644411160951,2.0864441615083913,2.014049143330635,0.11060303064097207,2628.6600000000003,67.15794569024182,4.9999999999999264e-05,0.00282,0.0027700000000000008,0.00017500000000000005,0.00017500000000000005,0.0003,0.00028000000000000003,0.11471449932283985,0.29601004662648867
40,41.0,2.0,1.0,16.5,3.0,5.0,14.0,1.5,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.27,14.8,0.17500000000000004,0.6000000000000001,1.6,0.28,1.01,0.2,0.2,4.670406237986496,9.260103722138291,2.14483577299961,1.7557188674338047,1.0872256397470614,2.022718338054275,2.2496051039035407,0.11224965799506126,2368.8,67.12542485013489,0.00028999999999999946,0.003,0.0027100000000000006,0.00017500000000000005,0.00017500000000000005,0.00027,0.00028000000000000003,0.11310869840371286,0.29756452685203083
80,41.0,2.0,1.0,16.5,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,14.8,0.17500000000000004,0.5,1.6,0.3,1.01,0.2,0.2,4.650000999523451,9.321808786128395,2.1366960125670404,1.8303401524566838,1.1276107832402313,2.060302134811662,2.166859703052778,0.11326685788755111,2364.6,67.41998614187239,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.11463047070503096,0.29734893650360067
84,41.0,2.0,1.0,16.5,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,14.8,0.17500000000000004,0.4,1.6,0.3,1.01,0.2,0.2,4.660820327958467,9.355207087740038,2.1373664858548165,1.8184074566790163,1.128488760995218,2.1056273019402654,2.165317082270722,0.11342939048800352,2360.4000000000005,67.26348172380298,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.1143639638680179,0.29761391840782364
25,41.0,2.0,1.0,16.5,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,14.700000000000001,0.17500000000000004,0.4,1.6,0.3,1.01,0.2,0.2,4.660755188543094,9.392925807393786,2.1373664858548165,1.818724871748976,1.1321625606054306,2.139307654211999,2.165364234972563,0.11338533355372271,2356.2000000000003,67.26442180833826,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.11438907248015842,0.2974575033959293
24,41.0,2.5,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,1.0,1.6,0.28,1.01,0.2,0.2,4.534722784530258,9.447576286226445,2.0274564529319274,1.9705539122380102,1.1648716945066349,1.9915531047487864,2.2931411218010864,0.11522861446565362,2272.56,69.13388487980944,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10811367760772601,0.29694139931057045
68,41.0,2.4000000000000004,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.25,13.700000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.52782676875976,9.449397042160491,2.0274564529319274,1.9705539122380102,1.1669682551210283,1.9897840561477724,2.294634365721753,0.11535066099082587,2261.42,69.23917785693841,0.0002499999999999998,0.003,0.0027500000000000003,0.00017500000000000005,0.00017500000000000005,0.00025,0.0003,0.10831345260817728,0.29653064492467346
71,41.0,2.3000000000000003,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,1.0,1.6,0.28,1.01,0.2,0.2,4.535230955796604,9.521850136075209,2.0274564529319274,1.9705539122380102,1.1669682551210283,1.9870381818755067,2.369833333908736,0.11562704098219885,2250.28,69.12613844877446,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10970857863297569,0.296600446803982
73,41.0,2.4000000000000004,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.5,1.6,0.28,1.01,0.2,0.2,4.555426264464544,9.538442959145385,2.038254037014244,1.9652003354497514,1.1532792453447083,2.0910641314072396,2.2906452099294428,0.11585787747383626,2241.12,68.81968552385595,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10745492382509643,0.29718082592270995
59,41.0,2.3000000000000003,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.5,1.6,0.28,1.01,0.2,0.2,4.56287558393219,9.551865689667043,2.038254037014244,1.9652003354497514,1.1532792453447083,2.08817849204233,2.306953579816008,0.11613547275505669,2230.0800000000004,68.70733097600561,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10883899161271865,0.2972396087699524
55,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,1.0,1.6,0.28,1.01,0.2,0.2,4.591849937173144,9.552982638440438,2.0274564529319274,1.9722881506185375,1.1669682551210283,1.9995299427751538,2.3867398369937916,0.11435534081527553,2216.86,68.27379100732634,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.11682801315753952,0.29747027163905265
76,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.3,13.700000000000001,0.17500000000000004,0.7000000000000001,1.6,0.28,1.01,0.2,0.2,4.612314229066169,9.590225690911826,2.030694289225199,1.970718095607617,1.168313967371083,2.082013352307605,2.338485986400322,0.11433091751518658,2204.92,67.97086828384568,0.0002299999999999993,0.003,0.0027700000000000008,0.00017500000000000005,0.00017500000000000005,0.0003,0.00028000000000000003,0.11651229172586725,0.29484832473703326
88,41.0,2.1,1.0,15.4,3.0,5.0,14.0,1.3,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.4,1.6,0.3,1.01,0.2,0.2,4.60899431114597,9.617730683502998,2.0388936202200356,1.954106685317792,1.154177209019542,2.1459471117656617,2.3246060571799663,0.11635693271875817,2204.0000000000005,68.01982857505742,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.11235674418539797,0.29808191760228886
67,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.4000000000000001,0.17500000000000004,0.46,2.9000000000000004,0.26,13.700000000000001,0.17500000000000004,0.4,1.6,0.28,1.01,0.2,0.2,4.63360702418325,9.622183499986704,2.043840486444761,1.9533860992007634,1.1288731082064678,2.1154192941146426,2.380664512020069,0.11450515221089592,2192.9799999999996,67.65852203507134,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.11570838836044885,0.2979719237251691
3,41.0,2.0,1.0,15.4,3.0,5.0,14.0,1.4000000000000001,0.17500000000000004,0.46,2.9000000000000004,0.26,13.600000000000001,0.17500000000000004,0.4,1.6,0.28,1.01,0.2,0.2,4.663372594695833,9.681380986731583,2.0563415305173423,1.9582234783106987,1.1318331592926874,2.127049279901653,2.407933538709201,0.11455184993096103,2188.9999999999995,67.22666837819162,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.1158264203722979,0.29789053603393273
4,42.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.483356487346449,10.076130226381359,1.5802801715602852,2.2802025327565163,1.2859628758418817,2.1426060096001955,2.787078636622481,0.11361561093564092,1915.1400000000003,69.92595922995984,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10362757366265554,0.2861966709888878
46,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,1.0,1.6,0.3,1.01,0.2,0.2,4.558493453146857,10.087620194958692,1.6003358535681222,2.2424568449293814,1.2858462339239658,2.1218582336398453,2.8371230288973766,0.11561349423307302,1879.7400000000005,68.77338010239848,0.00022999999999999974,0.003,0.0027700000000000003,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.0003,0.10570835120622758,0.29594372526423823
45,42.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.9,1.6,0.28,1.01,0.2,0.2,4.480989410552706,10.103364372292654,1.5821074449228816,2.279401266828878,1.2862380463527268,2.176593383063512,2.779024231124656,0.11363284176239959,1911.6000000000004,69.96289752644046,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10368310128375038,0.2851916003020302
89,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.9,1.6,0.28,1.01,0.2,0.2,4.556086706304882,10.114192440773792,1.6021863172574478,2.241668842882094,1.2861213794757573,2.1555164927410537,2.828699408417439,0.11563102805675878,1876.2000000000003,68.80970955046284,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.1057649937875877,0.29490442469447703
78,41.0,2.4000000000000004,1.0,12.8,3.0,5.0,14.0,1.0,0.17500000000000004,0.47000000000000003,2.9000000000000004,0.26,11.100000000000001,0.17500000000000004,0.6000000000000001,1.6,0.28,1.01,0.2,0.2,4.575461703058228,10.121104946214892,1.604144381028832,2.239851120874106,1.2805370359557482,2.2174737431049163,2.7790986652512895,0.11570589166882843,1865.5800000000004,68.51833176486191,0.0003099999999999995,0.003,0.0026900000000000006,0.00017500000000000005,0.00017500000000000005,0.00026000000000000003,0.00028000000000000003,0.10578582754205995,0.29618572890076234
